HD LED Picture Quality<p/>ConnectShare Movie<p/>Wide Color Enhancement<p/>Clear Motion Rate 60,17.5,29.1,ABC HD32CS5002 32-inch LED TV,17,3.7,TRUE,52,TV,249.99
HD LED Picture Quality<p/>ConnectShare Movie<p/>Wide Color Enhancement<p/>Clear Motion Rate 60,22.3,37.8,ABC HD42CS5002 42-inch LED TV,20.9,2.2,TRUE,64,TV,424.95
Inverter Technology for even cooking<p/>Inverter Turbo Defrost for quick defrosting<p/>9-Menu Category Sensor Cook system,12,22,Microtech MM-733N Microwave Oven; 1.6 Cubic Feet,38.8,19.5,TRUE,32,Microwave,178
Intel Core i5-4210U 1.7 GHz (3 MB Cache)<p/>4 GB DDR3L SDRAM<p/>0 GB 1 rpm 180 GB Solid-State Drive<p/>14-Inch Screen; Intel HD Graphics 4400<p/>Fedora 21 Operating System,11.6,20.4,HCM MegaBook 14-Inch Laptop,6.2,3.1,TRUE,213,Laptop,1095.99
Finished on all sides for versatile placement<p/>Cinnamon Cherry finish<p/>Cinnamon Cherry,19.5,35.2,Coffee Table in Cinnamon Cherry Finish,26.9,17.1,TRUE,23,CoffeeTable,44.73
HD LED Picture Quality<p/>ConnectShare Movie<p/>Wide Color Enhancement<p/>Clear Motion Rate 60,33.5,57.8,ABC HD65CS5002 65-inch LED TV,72.5,2.8,TRUE,76,TV,999
Intel Core i5-4210U 1.7 GHz (3 MB Cache)<p/>4 GB DDR3L SDRAM<p/>0 GB 1 rpm 180 GB Solid-State Drive<p/>15.6-Inch Screen; Intel HD Graphics 4400<p/>Fedora 21 Operating System,11.9,21.9,HCM MegaBook 15.6-Inch Laptop,6.9,3,FALSE,251,Laptop,1234.32
HD LED Picture Quality<p/>ConnectShare Movie<p/>Wide Color Enhancement<p/>Clear Motion Rate 60,24.7,42.2,ABC HD47CS5002 47-inch LED TV,28,2.2,FALSE,76,TV,529
HD LED Picture Quality<p/>ConnectShare Movie<p/>Wide Color Enhancement<p/>Clear Motion Rate 60,28.5,48.9,ABC HD55CS5002 55-inch LED TV,40.6,2.2,FALSE,76,TV,569
Inverter Technology for even cooking<p/>Inverter Turbo Defrost for quick defrosting<p/>9-Menu Category Sensor Cook system,14,24,Microtech MM-733N Microwave Oven; 2.2 Cubic Feet,45.6,19.5,FALSE,41,Microwave,135
Top lifts up and forward<p/>Hidden storage beneath top<p/>Finished on all sides for versatile placement,19.4,41.1,Black Finish Coffee Table,67.6,19,FALSE,6,CoffeeTable,142.99
